BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
29/04/09	 1   	Climatiseur Split  BTU 1,5 CV	 11 500,00   	10%	 11 500,00   		 11 500,00   	 -     	
25/06/09	 2   	Tapis comptabilité	 11 852,00   	10%	 11 852,00   		 11 852,00   	 -     	
25/06/09	 3   	Postes AKITA	 3 600,00   	10%	 3 600,00   		 3 600,00   	 -     	
23/07/09	 1   	Régulateur 50 KVA	 65 000,00   	10%	 65 000,00   		 65 000,00   	 -     	
31/08/09	 1   	Wifi Sagem 77 pour ADSL	 5 500,00   	10%	 5 500,00   		 5 500,00   	 -     	
12/08/09	 1   	Climatiseur	 13 500,00   	10%	 13 500,00   		 13 500,00   	 -     	
29/01/00	 6   	Climatiseurs 	 84 000,00   	10%	 84 000,00   		 84 000,00   	 -     	
31/12/09		Solde au 31/12/09	 7 213 650,70   	10%	 7 213 650,70   	 -     	 7 213 650,70   	 -     	
									
01/01/10		Report 01/01/2010	 7 213 650,70   	10%	 7 213 650,70   	 -     	 7 213 650,70   	 -     	
15/03/10		Régulateur de tension	 25 500,00   	10%	 25 500,00   		 25 500,00   	 -     	
29/03/10	3	Climatiseurs RIVA 2CV	 42 000,00   	10%	 42 000,00   		 42 000,00   	 -     	
15/09/10	1	Climatiseurs 1500 BTU	 25 000,00   	10%	 25 000,00   		 25 000,00   	 -     	
31/12/10		Solde au 31/12/2010	 7 306 150,70   	10%	 7 306 150,70   	 -     	 7 306 150,70   	 -     	
									
									
									
									
									
									
									
									
									
									
									
01/01/11		Report 01/01/2011	 7 306 150,70   	10%	 7 306 150,70   	 -     	 7 306 150,70   	 -     	
13/06/11	2	Panneau Lumineux	 30 000,00   	10%	 30 000,00   	 -     	 30 000,00   	 -     	
27/04/11	2	Appareil Téléphone Numérique	 4 450,00   	10%	 4 450,00   	 -     	 4 450,00   	 -     	
17/08/11	4	Climatiseurs carrier 2 CV	 160 000,00   	10%	 160 000,00   	 -     	 160 000,00   	-0,00   	
05/06/11	1	Climatiseurs Split 9000 BTU	 12 500,00   	10%	 12 500,00   	 -     	 12 500,00   	 0,00   	
18/09/11	2	Disjoncteurs	 5 550,00   	10%	 5 550,00   	 -     	 5 550,00   	 -     	
08/09/11		Climatiseurs 1,5 CV Carrière Garantie	 30 000,00   	10%	 30 000,00   	 -     	 30 000,00   	 -     	
14/07/11	1	Climatiseurs Split12000 BTU	 12 500,00   	10%	 12 500,00   	 -     	 12 500,00   	 -     	
03/10/11		Climatiseurs Split mural 12000 BTU	 32 000,00   	10%	 32 000,00   	 -     	 32 000,00   	 -     	
02/10/11		Climatiseurs Split Samsung 2CV F°253/2011	 32 000,00   	10%	 32 000,00   	 -     	 32 000,00   	 -     	
31/08/11	5	Climatiseurs Samsung 12000 BTU	-168 400,00   	10%	-168 400,00   	 -     	-168 400,00   	 -     	
31/12/11		Solde au 31/12/2011	 7 456 750,70   	10%	 7 456 750,70   	 -     	 7 456 750,70   	 0,00   	
									
01/01/12		Report 01/01/2012	 7 456 750,70   	10%	 7 456 750,70   	 -     	 7 456 750,70   	 0,00   	
15/05/12	2	Climatiseur Split Sumsung	 14 500,00   	10%	 14 500   	 -     	 14 500,00   	 -     	
24/05/12		Caméra et Vidéos de surveillances	 800 000,00   	10%	 800 000   	 -     	 800 000,00   	 -     	
12/06/12	2	Caméra Extérieur	 20 000,00   	10%	 20 000   	 -     	 20 000,00   	 -     	
12/06/12	2	Climatiseurs Sumsung 2 Chevaux	 40 000,00   	10%	 40 000   	 -     	 40 000,00   	 -     	
31/07/12	12	Extincteurs	 81 600,00   	10%	 81 600   	 -     	 81 600,00   	 -     	
30/09/12	3	Climatiseurs Samsung 12000 BTU	-100 000,00   	10%	-100 000   	 -     	-100 000,00   	 -     	
13/09/12	86	Cable Fibre obtique	 30 000,00   	10%	 30 000   	 -     	 30 000,00   	 -     	
08/09/12	1	Group El 110 KVA	 1 030 000,00   	10%	 1 030 000   	 -     	 1 030 000,00   	 -     	
10/10/12	1	Climatiseur Split 	 30 000,00   	10%	 30 000   	 -     	 30 000,00   	 -     	
11/10/12	1	Climatiseur Samsung	 15 000,00   	10%	 15 000   	 -     	 15 000,00   	 -     	
26/12/12	1	Postes téléphones	 3 220,00   	10%	 3 220   	 -     	 3 220,00   	 -     	
31/12/12		Solde au 31/12/2012	 9 421 070,70   	10%	 9 421 070,70   	 -     	 9 421 070,70   	 0,00   	
									
01/01/13		Report 01/01/2013	 9 421 070,70   	10%	 9 421 070,70   	 -     	 9 421 070,70   	 0,00   	
03/02/13	1	Guichet automatique bancaire Procash 2050 XE	 953 364,80   	10%	 953 365   		 953 364,80   	 -     	
21/05/13	1	Climatiseur Split 18000 	 16 800,00   	10%	 16 800   		 16 800,00   	 -     	
06/06/13	1	Climatiseur 1,5 CV 12 000 BTI Samsung	 18 000,00   	10%	 18 000   		 18 000,00   	 -     	
17/06/13	1	Climatiseur 1,5 CV 12 000 BTI Samsung	 19 500,00   	10%	 19 500   		 19 500,00   	 -     	
22/07/13	1	Guichet automatique bancaire Procash 2050 XE	 935 871,50   	10%	 935 872   		 935 871,50   	 -     	
28/08/13	1	Installation et Configuration d'une connexion 	 84 000,00   	10%	 84 000   		 84 000,00   	 -     	
08/09/13	2	Climatiseur 1,5 CV 12 000 BTI Samsung	 51 000,00   	10%	 51 000   		 51 000,00   	 -     	
12/09/13	1	IR Caméra haute résolution	 49 860,00   	10%	 49 860   		 49 860,00   	 -     	
22/09/13	1	Climatiseur Split 18000 	 20 200,00   	10%	 20 200   		 20 200,00   	 -     	
22/09/13	1	Climatiseur Split 18000 	 31 000,00   	10%	 31 000   		 31 000,00   	 -     	
29/09/13	1	Climatiseur Split 18001	 37 200,00   	10%	 37 200   		 37 200,00   	 -     	
24/10/13	1	Groupe électrogène 15 KVA perkins	 460 000,00   	10%	 460 000   		 460 000,00   	 -     	
10/11/13	1	Bras hydraulique	 110 010,00   	10%	 110 010   		 110 010,00   	 -     	
29/12/13		Installation rideaux	 160 800,00   	10%	 160 800   		 160 800,00   	 -     	
31/12/13		Solde au 31/12/2013	 12 368 677,00   	10%	 12 368 677,00   	 -     	 12 368 677,00   	 0,00   	
									
									
									
									
									
									
01/01/14		Report 01/01/2014	 12 368 677,00   	10%	 12 368 677,00   	 -     	 12 368 677,00   	 0,00   	
19/02/14	1	Installation douche	 58 800,00   	10%	 58 800,00   		 58 800,00   	 -     	
12/03/14	15	Installation rideaux	 193 500,00   	10%	 193 500,00   		 193 500,00   	 -     	
19/03/14	2	Installation caméras	 10 500,00   	10%	 10 500,00   		 10 500,00   	 -     	
14/04/14	9	Climatiseurs  2 CV /RIV	 162 000,00   	10%	 162 000,00   		 162 000,00   	 -     	
15/04/14	1	Climatiseurs  2 CV split	 17 000,00   	10%	 17 000,00   		 17 000,00   	 -     	
22/04/14	1	Climatiseurs  split mural 18 000 BTU	 33 000,00   	10%	 33 000,00   		 33 000,00   	 -     	
05/05/14	2	Clôture Deux mures NDB	 1 080 000,00   	10%	 1 080 000,00   		 1 080 000,00   	 -     	
07/05/14	5	Climatiseur Airewell 18 000 btu	 69 000,00   	10%	 69 000,00   		 69 000,00   	 -     	
13/05/14	1	Climatiseur Split 18 btu	 20 500,00   	10%	 20 500,00   		 20 500,00   	 -     	
21/05/14	1	Stabilisateur 20 KVA	 26 000,00   	10%	 26 000,00   		 26 000,00   	 -     	
01/06/14	1	Climatiseur Air well 18000 btu	 23 000,00   	10%	 23 000,00   		 23 000,00   	 -     	
03/06/14	2	Climatiseur Air well 18000 btu	 46 000,00   	10%	 46 000,00   		 46 000,00   	 -     	
09/07/14	6	Climatiseurs  mural Airwell  12 000 BTU	 80 500,00   	10%	 80 500,00   		 80 500,00   	 -     	
10/08/14	1	Climatiseurs  split  18 000 BTU	 18 000,00   	10%	 18 000,00   		 18 000,00   	 -     	
18/09/14	1	Materiels éléctrique Modulaires	 90 600,00   	10%	 90 600,00   		 90 600,00   	 -     	
24/09/14	1	Materiels éléctrique Modulaires	 75 750,00   	10%	 75 750,00   		 75 750,00   	 -     	
29/09/14	5	Ventilateurs	 11 700,00   	10%	 11 700,00   		 11 700,00   	 -     	
23/10/14	30	30 mettre carré de vitre européens 	 38 000,00   	10%	 38 000,00   		 38 000,00   	 -     	
08/12/14	11	Climatiseurs Split 24000+18000+1200 btu	 350 500,00   	10%	 350 500,00   		 350 500,00   	 -     	
12/12/14	4	Fabrication Etagères	 36 050,00   	10%	 36 050,00   		 36 050,00   	 -     	
31/12/14		Solde au 31/12/2014	 14 809 077,00   	10%	 14 809 077,00   	 -     	 14 809 077,00   	 0,00   	
									
01/01/15		Report 31/12/2014	 14 809 077,00   	10%	 14 809 077,00   	 -     	 14 809 077,00   	 0,00   	
29/01/15	1	Climatiseur Air well 18000 btu	 18 000,00   	10%	 18 000   		 18 000,00   	 -     	
13/02/15	2	Panneaux aluminium (Groupe electrogene)	 15 600,00   	10%	 15 600   		 15 600,00   	 -     	
11/03/15	1	Porte aluminium(Groupe electrogene)	 10 000,00   	10%	 10 000   		 10 000,00   	 -     	
30/03/15	1	Climatiseur Air well 12000 BTU	 17 000,00   	10%	 17 000   		 17 000,00   	 -     	
22/06/15	1	Climatiseurs Samsung  split 18000 BTU	 16 300,00   	10%	 16 300   		 16 300,00   	 -     	
31/07/15	1	Climatiseur Air well 12000 BTU	 17 000,00   	10%	 17 000   		 17 000,00   	 -     	
31/07/15	2	Climatiseur Air well 18000 BTU	 19 200,00   	10%	 19 200   		 19 200,00   	 -     	
31/07/15	5	Climatiseur Airewell 18 000 btu	 24 000,00   	10%	 24 000   		 24 000,00   	 -     	
31/07/15	6	2 Climatiseur Split 18 btu+ 4 clim airwell	 95 200,00   	10%	 95 200   		 95 200,00   	 -     	
24/08/15	1	Installation Mur protection groupe electrogene	 31 250,00   	10%	 31 250   		 31 250,00   	 -     	
26/08/15	2	Climatiseur Air well 18000 btu	 35 000,00   	10%	 35 000   		 35 000,00   	 -     	
01/09/15	2	Installation Mur protection groupe electrogene	 22 390,00   	10%	 22 390   		 22 390,00   	 -     	
31/12/15		Solde au 31/12/2015	 15 130 017,00   	10%	 15 130 017,00   	 -     	 15 130 017,00   	 0,00   	
									
									
									
									
									
									
									
									
									
									
									
									
